Cosit,Description,Type,StartSite,EndSite,Length,StartGrid,EndGrid,Direction
9800ZBT8PM1P,A560 Stockport Rd W/Ashton Rd to New Zealand Rd/Carrington Rd,Link,MAC4264ST,MAC4265ST,1388 m,392012391628,390833390949,SW
9800ZBQ0DY7R,Broughton Rd E of Ford Ln to Brpad St/The Crescent/Albion Way/Cross St,Normal,MAC4077SD,MAC4076SD,1034 m,381251399586,381787398791,SE
9800ZBL2SI5O,(blank),Link,MAC4080TA,MAC4081TA,1399 m,389041398264,390431398096,E
9800ZBISOY0M,Birchfields Rd/Dickenson Rd to Lloyd St/Moss Ln E,Link,MAC4067MR,MAC1406MR,2043 m,386054395253,384439395589,W
9800ZBGSOAFX,A572 Manchester Rd Astley Green to A572 Manchester Rd/Chapel St/Warrington Rd,Link,MAC1304,MAC4096WG,2435 m,369151399819,366984399612,W
9800ZB7CKMPS,A58 Manchester Rd/Silk Rd/Bolton Rd to A58 Rochdale Rd E/Green Ln,Link,MAC4283RD,MAC4282RD,2492 m,388426411750,386281410834,W
9800ZB5MGIBA,Chester Road to Barton Rd/Kingsway,Link,MAC1043TR,MAC4328TR,501 m,379735394420,379247394374,W
9800ZAW0VSKI,M60 J21 N/B on-slip/Broadway to Broadway/Long Lane/Costco Access,Link,MAC4318OL,MAC4317OL,201 m,389447403340,389577403492,NE
9800ZAJF4WPK,Church St/Peel St to Liverpool Rd/Green Ln,Link,MAC4113SD,MAC4348SD,1036 m,377497398577,376476398445,W
9800ZAD0OCUE,A6010 Ashton New Rd/Alan Turning Way to A635 Ashton Old Rd/Pottery Ln,Link,MAC4065MR,MAC4014MR,857 m,387149398340,387191397513,S
9800ZAAY0IFF,New Zealand Rd/Carrington Rd to Brinnington Rd/Carrington Rd,Link,MAC4265ST,MAC4266ST,475 m,390833390949,390380391061,W
9800ZA308WW9,A580 East Lancs Rd/Worsley Rd to A580 East Lancs Rd/Walkden Rd,Normal,MAC4098SD,MAC1053SD,3444 m,377287400969,374101401764,W
9800Z9POIWPT,A57 Hyde Road Denton to Manchester Rd/Hyde Rd,Link,MAC1311,MAC4031TA,739 m,393283395525,392543395503,W
9800Z9FG3GWR,(blank),Link,MAC4074SD,MAC1050SD,493 m,381308397831,381419398084,NE
9800Z90VNUKV,A635 Manchester Rd/Moss Way to A635 Park Parade W of Grafton St,Link,MAC4018TA,MAC4060TA,2922 m,391982398151,394562398987,E
9800Z8OZ0AWZ,(blank),Normal,MAC4298BU,MAC4083BU,3554 m,377395409465,380181410507,E
9800Z8KHZBAJ,Church Rd/Stretford Rd to M60 Junction 10/Redclyffe Road/Trafford Centre (east) Trafford,Link,MAC4329TR,MAC1051TR,2199 m,376667394455,376432396535,N
9800Z8K0LMBG,Oldham Rd north Queen Victoria St to Oldham Rd north of Shaw Rd,Link,MAC4338RD,MAC4339RD,1326 m,390450411667,390797410409,S
9800Z80SOSE6,(blank),Link,MAC4082TA,MAC4018TA,697 m,391322397978,391982398151,E
9800Z7SG4TP1,A6 Wellington Rd South North of Wellington St to A6 Wellington Rd North/George's St,Link,MAC1097ST,MAC1096ST,731 m,389409390135,388962390706,NW
9800Z7GZF7HR,A577 Darlington Street / Warrington Lane to Warrington Rd/Lily Lane,Link,MAC1113WG,MAC4294WG,3622 m,358718405318,360464402418,SE
9800Z7ACJMR4,A6 London Rd/Commercial Rd to A6 London Rd south of Grundey St,Link,MAC1091ST,MAC1040ST,466 m,391840387220,392182386916,SE
9800Z6SE31QS,Ashton Rd/Lingard Lane to Manchester Rd/Hyde Rd,Link,MAC4263ST,MAC4031TA,3541 m,392075392491,392543395503,N
9800Z6R9GRFJ,(blank),Link,MAC4266ST,MAC1095ST,3322 m,390380391061,388061392809,NW
9800Z6PMF00T,A34 Kingsway/Parrs Wood Ln to A34 M60 junc 3/Kingsway,Link,MAC4105MR,MAC4104ST,1819 m,385523390476,385040388733,S
9800Z6BFVA8I,Manchester Rd/Park Parade to Manchester Rd/William St,Normal,MAC4021TA,MAC4020TA,445 m,393185398647,392878398548,W
