Cosit,Description,Type,StartSite,EndSite,Length,StartGrid,EndGrid,Direction
9800XXGICVMD,Albion Way/M602 Circulatory to A6 Broad St/The Crescent/Albion Way,Link,MAC1050SD,MAC4076SD,1029 m,381419398084,381787398791,NE
9800XX916QAL,A635 Ashton Old Rd/Fairfield Rd to A635 Ashton Old Rd.Chancellor St,Link,MAC4015MR,MAC4013MR,3526 m,389238397359,385715397639,W
9800XWUZOIWS,A34 Kingsway/ S of Moseley Rd Roundabout to A5103 Princess Rd/Wilbraham Rd,Link,MAC4106MR,MAC4070MR,2706 m,386547393929,383874394069,W
9800XWRG7TWM,A58 Rochdale Rd E/Green Ln to A58 Manchester Rd/Silk St/Bolton Rd,Link,MAC4282RD,MAC4283RD,2484 m,386281410834,388426411750,E
9800XWN8TCDU,A635 Manchester Rd/Audenshaw Rd to A635 Ashton Old Rd/Fairfield St,Link,MAC4016TA,MAC4015MR,1420 m,390623397498,389238397359,W
9800XWKR9VAT,Stockport Rd/William St to Stockport Rd/Guide St,Link,MAC4260TA,MAC4261TA,950 m,393044398387,392473397649,SW
9800XWHFGPJ0,Bury New Rd/Moor Ln/Singleton Rd to Bury New Rd/Hilton Ln/Scholes Ln,Link,MAC4091SD,MAC4090BU,1073 m,382255402075,381779403027,NW
9800XWDGAU2R,Stockport to Gorton via Reddish,Normal,MAC4322ST,MAC4035MR,5282 m,389525390766,389469395704,N
9800XVZ1LLVC,A627 Clarke Way/M67 EB Slips to A627 Clarke Way/Mottram Rd,Link,MAC4027TA,MAC4024TA,223 m,394892395216,395038395051,SE
9800XVWDSK08,A56 Manchester Rd/Hollins Brow to A6053 Dumers Ln/Manchester Rd/Millwood Court,Link,MAC4086BU,MAC4085BU,861 m,380762407753,380536408582,N
9800XVV1MWTO,George's Rd/Travis Brow to Great Egerton St/Knightsbridge,Link,MAC4323ST,MAC4322ST,993 m,388668390413,389525390766,E
9800XVQQWQOU,A572 Manchester Rd/Chapel St/Warrington Rd,Link,MAC4096WG,MAC4095WG,1459 m,366984399612,365623399940,W
9800XVL0QVMI,A57 Liverpool Rd/Worsley Rd to Liverpool Rd/Thorp St,Link,MAC4112SD,MAC4111SD,815 m,376224398280,375536397860,SW
9800XVJ0UHRL,M60 Junction 10/Redclyffe Road/Trafford Centre (east) Trafford TO Trafford Boulevard/Trafford Way,Link,MAC1051TR,MAC4330TR,434 m,376432396535,376603396928,NE
9800XVIGLU4K,Manchester Rd/Silk St/Bolton Rd to Manchester Rd/Dane St,Normal,MAC4283RD,MAC4284RD,1764 m,388426411750,389318413142,NE
9800XVDZQC0B,A665 Cheetham Hill Rd/Queens Rd to A665 Bury Old Rd/Leicester Rd,Link,MAC4061MR,MAC4208SD,2059 m,384425400403,383562402142,NW
9800XVCAZQTC,(blank),Link,MAC1104WG,MAC1102WG,1814 m,370465401952,371851401309,E
9800XV14IIM0,Chorley Rd/Station Rd to Eccles Old Rd/Gilda Brook Rd/Half Edge Ln,Link,MAC4333SD,MAC4332SD,4013 m,377531401781,378287399168,S
9800XUOOTFQD,A34 Kingsway adj to Southview Gardens to A34 Kingsway/Gatley Rd,Link,MAC4054ST,MAC4044ST,1153 m,385387387277,385035388368,NW
9800XUKYVB4F,Stamford St/Wakefield Rd to A635 Stamford Street East A-U-L,Normal,MAC4059TA,MAC1310,1635 m,396216398778,394613398974,W
9800XUAFCD1J,A6 Stockport Road to A34 Kingsway,Link,MAC1071MR,MAC4106MR,836 m,387370394187,386547393929,W
9800XU2TGTPW,(blank),Link,MAC1317,MAC4036MR,1252 m,386813396611,388052396222,E
9800XTZ4Y9Z3,(blank),Link,MAC4065MR,MAC4079MR,1245 m,387149398340,385928398458,W
9800XTWHFM0O,Brinnington Rd/Carrington Rd to Gt Portwood St/Knightsbridge,Link,MAC4266ST,MAC4267ST,708 m,390380391061,389781390703,SW
9800XTO4KXZ4,A6 London Rd/Buxton Rd to A523 London Rd/Chester Rd,Link,MAC1041ST,MAC4050CH,2989 m,392525386519,391983383641,S
9800XTMBZTWE,A635 Manchester Rd/Park Parade to A635manchester Rd/Moss Way,Link,MAC4021TA,MAC4018TA,1429 m,393185398647,391982398151,W
9800XTERZSGQ,A34 Kingsway S of Stanley Rd Roundabout to A34 Handforth By-pass/A555 Airport Link,Link,MAC4043ST,MAC4053CH,420 m,386840384663,386762384284,S
9800XTENWO25,A5103 Nell Ln/Princess Rd to A5103 Princess Rd/Wilbraham Rd,Link,MAC4219MR,MAC4070MR,1752 m,383327392456,383874394069,NE
9800XTD37YJC,A560 Altrincham Rd/Hall Ln to A560 Altrincha Rd E of Netherwood Rd,Link,MAC4209MR,MAC4210MR,800 m,381664389356,382380389153,E
9800XT7R0BKL,Wilmslow Rd/Palatine Rd/Burton Rd to Wilmslow rd/Moseley Rd,Link,MAC4288MR,MAC4069MR,1293 m,384880392953,385583394003,NE
9800XT0UOSJB,A58 Cricketers Way/The Fairway/Wigan Rd to A58 Market St n of Mill St,Link,MAC4257BL,MAC4256WG,4241 m,365189405789,361810404501,W
9800XT04PQ29,A663 Broadway / Foxdenton Ln to Broadway/Middleton Rd,Link,MAC4316OL,MAC4315OL,1405 m,389985404187,390430405508,NE
9800XSUTDYVD,A6053 Bolton Rd/Long Causeway to A666 Bolton Rd/Stoneclough Rd,Link,MAC4201BL,MAC4200BL,620 m,374244405408,374761405114,SE
9800XSL6ZZEP,(blank),Link,MAC4103BL,MAC4307BL,654 m,371821409821,371253409494,SW
9800XSJAB1SU,Manchester Rd/William St to Manchester Rd/Park Parade,Link,MAC4020TA,MAC4021TA,330 m,392878398548,393185398647,E
9800XSGBW8WE,Site 4005 to Site 1049,Normal,MAC4005MR,MAC1049MR,2289 m,383788399115,382950397270,SW
9800XSDZDH9U,A664 Assheton Way S of Long R'abt to A664 Rochdale Rd/Hollin Ln,Link,MAC4249RD,MAC4248RD,969 m,387096405927,387159406826,N
9800XS0CEJ3Z,Kingsway/Parrs Wood Ln to Didsbury Rd/Bank Hall Rd,Link,MAC4105MR,MAC4325ST,2016 m,385523390476,387473390661,E
9800XRZOA5S4,(blank),Link,MAC4224OL,MAC4225OL,2317 m,390525402553,388801401027,SW
9800XRYWQJ4B,Didsbury Rd/Green Ln to Didsbury Rd/Bank Hall Rd,Link,MAC4324ST,MAC4325ST,995 m,388392390349,387473390661,W
9800XRNJVCJ4,(blank),Link,MAC4346SD,MAC4273BL,7270 m,373660403085,369013405797,NW
9800XRMVEKXI,A6042 Trinity Way/Hampson St to A6042 Trinity Way Chapel St,Link,MAC4002SD,MAC4003SD,635 m,382805398001,383009398543,NE
9800XRHJHZUH,A665 Gt Ancoats St/Pin Mill Brow to A665 Gt Ancoats St/Pollard St,Link,MAC4011MR,MAC4010MR,501 m,385635397762,385322398104,NW
9800XREEE5AR,A627 Clarke Way/Mottram St to A627 Market St/Union St,Link,MAC4023TA,MAC4025TA,324 m,395121394956,394944394723,SW
9800XQYTADKD,A58 Manchester Rd/Edinburgh Way/Roch Valley Way to A664 Manchester Rd/Queensway,Link,MAC4246RD,MAC4247RD,1754 m,388600411895,388380410437,S
9800XQXO8W9R,White City Way/White City Circle to Albion Way/M602 Circulatotry,Link,MAC1047TR,MAC1050SD,2143 m,381277396298,381419398084,N
9800XQWYNIJS,A6010 Queens Rd/Smedley Rd to A665 Cheetham Hill Rd/Queens Rd,Link,MAC4062MR,MAC4061MR,772 m,385162400639,384425400403,W
9800XQQMTFYL,A577 Ormskirk Rd/Alker St to A49 Wallgate/Caroline St,Link,MAC1028WG,MAC1015WG,1693 m,356541404760,357980405365,E
9800XQLL4AFQ,Broad St/Frederick Rd to Eccles Old Rd/Langworthy Rd,Link,MAC4352SD,MAC4204SD,1470 m,381504399113,380517399518,W
9800XQCMSY5F,A665 Cheetham Hill Rd/Queens Rd to A6010 Queens Rd/Smedley Rd,Link,MAC4061MR,MAC4062MR,771 m,384425400403,385162400639,E
9800XPYHIYFB,A6042 Trinity Way/Cheetham Hill Rd to A665 Cheetham Hill Rd/Corporation St,Link,MAC4006MR,MAC4007MR,233 m,384057399213,384174399038,SE
9800XPWMGDWU,A665 Cheetham Hill Rd/Queens Rd to A6010 Queens Rd/Monsall St,Link,MAC4061MR,MAC4063MR,1561 m,384425400403,385799400389,E
9800XPQZWXHF,(blank),Link,MAC4242WG,MAC4097WG,0 m,364497397362,371488400948,NE
9800XPNYYRHG,A580 East Lancs Rd/Warrington Rd to A580 East Lancs Rd/Lowton St. Mary's By-Pass,Normal,MAC4243WG,MAC4242WG,2631 m,366943398323,364497397362,W
9800XPK8TAPU,A6042 Trinity Way/Gt Ducie St to A6042 Trinity Way/Chapel St,Normal,MAC4005MR,MAC4003SD,1001 m,383788399115,383009398543,SW
9800XPF60FEN,A665 Cheetham Hill Rd/Queens Rd A6042 Trinity Way/Cheetham Hill rd,Link,MAC4061MR,MAC4006MR,1239 m,384425400403,384057399213,SW
9800XPC0AJN9,A676 Deane Rd/Moor Ln to A58 Beaumont Rd/Wigan Rd,Link,MAC4259BL,MAC4258BL,3032 m,371295408779,368655407379,SW
9800XP0NQGE7,A6042 Trinity Way/Chapel St to A6042 Trinity Way/Blackfriars Rd,Link,MAC4003SD,MAC4004SD,479 m,383009398543,383273398928,NE
9800XP0DVZSX,Wilmslow Rd/Barlow Moor Rd/School Ln to Kingsway/Parrs Wood Ln,Link,MAC4326MR,MAC4105MR,1566 m,384710391227,385523390476,SE
9800XOSI70XE,A4014 Chester Way/Bridgewater Way to A5081 Wharfside Way/Sir Matt Busby Way,Link,MAC4231TR,MAC4230TR,713 m,381468396368,380874396493,W
9800XOKLHQPQ,A627 Clarke Way/Mottram Rd to A627 Market St/Union St,Link,MAC4024TA,MAC4023TA,126 m,395038395051,395121394956,SE
9800XO92VTB0,Adelphi St/Chapel St/Crescent/Oldfield Rd to (A6) Broad St/The Cresent/Albion Way/Cross Lane,Link,MAC4100SD,MAC4076SD,812 m,382530398540,381787398791,W
9800XO06NHUR,(blank),Normal,MAC4025TA,MAC4024TA,0 m,394944394723,395038395051,N
9800XNXI1V4H,A576 Eccles Old Rd/Langworthy Rd to A6 Broad St/The Cresent/albion Way/Cross Ln,Link,MAC4204SD,MAC4076SD,1617 m,380517399518,381787398791,SE
9800XNVSRYUU,A34 Kingsway Burnage to Kingsway south of Mosley Rd Roundabout,Link,MAC1315,MAC4106MR,773 m,386365393180,386547393929,N
9800XNVQCP3T,(blank),Link,MAC4110SD,MAC4206SD,0 m,375166397587,371849393806,SW
9800XNTYVIII,(blank),Link,MAC4079MR,MAC4080TA,3199 m,385928398458,389041398264,E
9800XNTULSQF,A664 Rochdale Rd/Hollin Ln to A664 Assheton Way S of Long St R'abt,Link,MAC4248RD,MAC4249RD,936 m,387159406826,387096405927,S
9800XNS7R0RJ,East Lancashire Rd/Newton Rd to Church Ln/Golborne Rd/Slag Ln/Stone Cross Ln North,Link,MAC4241WG,MAC4293WG,1437 m,362397396922,361513397752,NW
9800XNQH7V6G,A560 Stockport Rd S of Parkway to A560 Stockport Rd/Councillor Ln,Link,MAC4213ST,MAC4212ST,543 m,386965389108,386541388779,SW
9800XNPZLEKW,A6 Wellington Rd North/Heaton Moor Rd to A6 Wellington Rd N/Crossley Rd,Link,MAC1098ST,MAC1074ST,1052 m,388345392252,387859393181,NW
9800XNPRYTSW,A56 Manchester Rd/Radcliffe Rd to A58 Angouleme Way/Jubilee Way/Manchester Rd,Link,MAC4084BU,MAC4083BU,848 m,380308409653,380181410507,N
9800XNM0FX70,A6018 Mottram Moor S of Compton St to A635 Stamford St/Wakefield Rd,Link,MAC4058TA,MAC4059TA,807 m,396844398359,396216398778,NW
9800XNKTNPX1,A58 Manchester Rd/Edinburgh Way/Roch Valley Way to A58 Manchester Rd/Drake St,Link,MAC4246RD,MAC4245RD,1147 m,388600411895,389266412780,NE
9800XNKGWCNA,Broadway/Middleton Rd to Manchester Rd/ Edinburgh Way/Roch Valley Way,Link,MAC4315OL,MAC4246RD,7457 m,390430405508,388600411895,N
9800XNHOYDKS,Manchester Rd/Hyde Rd to A57 Hyde Road Denton,Link,MAC4031TA,MAC1311,739 m,392543395503,393283395525,E
9800XNCCHU0M,A664 Assheton Way S of Long St R'abt to A669 Oldham Rd/Tesco Exit,Link,MAC4249RD,MAC4250RD,374 m,387096405927,387077405709,S
9800XMXYF98W,A6 Chapel-en-le-firth to A6 Buxton Rd W of Andrew Ln,Link,MAC1063DS,MAC1100ST,7727 m,401300382478,395548385244,W
9800XMRHFJKK,A57 Hyde Rd/Longsight to Ardwich Green South nr Ardwick Green Roundabout,Link,MAC1317,MAC1081MR,1682 m,386813396611,385281397110,W
9800XMPRPVRV,Chorley New Rd/Tudor Ave to Chorley New Rd SE of Oxford Rd,Link,MAC4305BL,MAC4303BL,4251 m,369793409364,365634409787,W
9800XMP7MJFL,Chorley New Rd/St. George's Rd to Marsden Rd/St.George's Rd,Link,MAC4306BL,MAC4307BL,325 m,370956409622,371253409494,E
9800XMMC1IK7,Oldham Rd south of Gordon St to Oldham Rd north Queen Victoria St,Link,MAC4337RD,MAC4338RD,419 m,390376412075,390450411667,S
9800XMF5NYUI,A6018 Roe Cross Road Mottram to Mottram Rd S of Compton St,Link,MAC1309,MAC4058TA,3121 m,398925396217,396844398359,NW
9800XMDTPU6G,Warrington Rd/Lily Lane to A577 Darlington Street / Warrington Lane,Link,MAC4294WG,MAC1113WG,3596 m,360464402418,358718405318,NW
9800XM0FVADA,A560 Brinksway/Hollywood Way to A560 Stockport Rd S of Parkway,Link,MAC4214ST,MAC4213ST,1952 m,388561390043,386965389108,SW
9800XM00RHWR,(blank),Link,MAC4252MR,MAC4254MR,0 m,386339404104,385571400588,S
9800XLYAMA3J,Broadway/Long Lane/Costco Access to A663 Broadway / Foxdenton Ln,Link,MAC4317OL,MAC4316OL,824 m,389577403492,389985404187,NE
9800XLXGYWEF,A57 Hyde Road Longsight to Hyde Rd/Pottery Ln,Link,MAC1317,MAC4037MR,257 m,386813396611,387062396537,E
9800XLX470VP,A6042 Trinity Way/Cheetham Hill Rd/Queens Rd,Link,MAC4006MR,MAC4061MR,1247 m,384057399213,384425400403,NE
9800XLVNMSCO,A627 Clarke Way/Manchester Rd to A627 Market St/Union St,Link,MAC4029TA,MAC4025TA,654 m,394485395114,394944394723,SE
9800XLRZ0QYJ,Wilmslow Rd/Moss Lane East to Wilmslow Rd/Platt Ln/Dickenson Rd,Link,MAC4287MR,MAC4068MR,758 m,385042395700,385339395012,SE
9800XLJMVTQC,Palatine Rd/Barlow Moor Rd to Wilmslow Rd/Palatine Rd/Burton Rd,Link,MAC4289MR,MAC4288MR,1614 m,384003391605,384880392953,NE
9800XL7STR3C,Albion Way/Liverpool St to Broad St/The Cresent,Normal,MAC4075SD,MAC4076SD,477 m,381612398353,381787398791,NE
9800XL4W5JET,(blank),Link,MAC4259BL,MAC4307BL,744 m,371295408779,371253409494,N
9800XL0TE4TU,A6017 Ashton Rd/Lingard Ln to A6017 Ashton Rd/Worthington Way,Link,MAC4263ST,MAC4262TA,3874 m,392075392491,392447395819,N
9800XKL45HQY,B5211 Barton Dock Rd/Park Way to A5081 Village Way/Mosley Rd,Link,MAC4227TR,MAC4228TR,1522 m,377910396217,379041396781,E
9800XKK0URYQ,A6 Stockport Rd/Alma Rd to A6 Stockport Rd/Matthews Ln,Link,MAC1072MR,MAC1070MR,726 m,387438394007,387335394711,N
9800XKG02Z1M,A56 Bury New Rd/Waterloo Rd to A576 Great Cheetham St,Normal,MAC4093MR,MAC1314,990 m,383428399839,382642400494,NW
9800XK6YU60V,Trafford Boulevard/Trafford Way to Redclyffe Rd/B&Q Development,Link,MAC4330TR,MAC4331TR,535 m,376603396928,376780397282,NE
9800XK6JGWET,A577 Manchester Rd/Ince green Ln to A577 Darlington St/Warrington Ln,Link,MAC1111WG,MAC1113WG,1399 m,359995405382,358718405318,W
9800XK5ZFOON,(blank),Link,MAC4063MR,MAC4226MR,574 m,385799400389,386131399927,SE
9800XJWLHD0I,Blackburn Rd/Crompton Way to Blackburn Rd Bolton,Link,MAC4102BL,MAC1319,1116 m,371455411685,371586410532,S
9800XJV80PIV,(blank),Link,MAC4099SD,MAC4097WG,0 m,378713400689,371488400948,W
9800XJS8RXO0,(blank),Normal,MAC1084MR,MAC1076MR,0 m,386938395390,386623395821,NW
9800XJP4VKJQ,A6 London Rd S of Vernon St to A6 Buxton Rd/Kennerly St,Link,MAC1038ST,MAC1034ST,1772 m,391734387377,390366388468,NW
9800XJEC5585,A5081 Village Way/Mosley Rd to Trafford Center Egress,Link,MAC4228TR,MAC1052TR,1741 m,379041396781,377754396004,SW
9800XJCOBNPR,A577 Wigan Rd/Liverpool Rd to A58 Market St N of Mill St,Link,MAC1110WG,MAC4256WG,311 m,361583404290,361810404501,NE
9800XJC4OW1M,A6 broad St/The Crescent/Albion Way to Albion Way/M602 circulatory,Link,MAC4076SD,MAC1050SD,832 m,381787398791,381419398084,SW
9800XJBXLKJB,A662 Manchester Rd/Ashton Rd/Market St to A57 manchester Rd WB/M67/M60,Link,MAC4081TA,MAC4033TA,1401 m,390431398096,391142395535,S
9800XIWOUUU3,(blank),Link,MAC4083BU,MAC4084BU,0 m,380181410507,380308409653,S
9800XIUD0II4,A665 Cheetham Hill Rd/Corporation St to A665 Gt Ancoats St/Oldham Rd,Normal,MAC4007MR,MAC4008MR,827 m,384174399038,384651398698,SE
9800XITENOMQ,Eccles Old Rd/Gilda Brook Rd/Half Edge Ln to 869 Chorley Rd/Manchester Rd/Worsley Rd,Normal,MAC4332SD,MAC4347SD,3335 m,378287399168,378027401311,N
9800XIH44YNG,A56 White City Roundabout,Normal,MAC1046TR,MAC1048TR,1720 m,380983396106,382430396994,NE
9800XICNG6VV,A57 Manchester Rd/Hyde Rd to A57 Hyde Rd/M62 J2 WB Off-slip,Link,MAC4031TA,MAC4030TA,974 m,392543395503,393482395401,E
9800XI9EFNKZ,A627 Clarke Way/Manchester Rd to A627 Clarke Way/Newton St,Link,MAC4029TA,MAC4028TA,188 m,394485395114,394602395253,NE
9800XI8AG1OT,M60 J22 NB off-slip/Manchester Rd to M60 J22 EB off-slip/Manchester Rd,Normal,MAC4224OL,MAC4223OL,118 m,390525402553,390598402639,NE
9800XI1QSXBA,Bury New Rd/Hilton Ln/Scholes Ln to Bury New Rd/Moor Ln/Singleton Rd,Link,MAC4090BU,MAC4091SD,1079 m,381779403027,382255402075,SE
9800XHWJPC5I,A56 Manchester Rd/Hollins Brow to A56 Bury New Rd/Radcliffe New Rd,Link,MAC4086BU,MAC4087BU,1500 m,380762407753,380407406348,S
9800XHUGWAK0,Wilmslow Rd/High St to Stockport Road/Concillor Lane,Link,MAC4045ST,MAC4212ST,987 m,385626388572,386541388779,E
9800XHRRYFDB,A665 Miller St/RochdaleRd/Swan St to A664 Rochdale Rd/Queens St,Link,MAC4255MR,MAC4254MR,2104 m,384448398866,385571400588,NE
9800XHQBN9LJ,A57 Dawson Rd/Regent Rd to A56 Chester Rd/Mancunian Way,Normal,MAC4001MR,MAC1049MR,724 m,382729397664,382950397270,SE
9800XHQAN64D,A580 East lancs Rd/Chaddock Ln to A580 East Lancs Rd/Warrington Rd,Normal,MAC4097WG,MAC4243WG,5278 m,371488400948,366943398323,SW
9800XHDCD7UA,A6 Wellington Rd South to A6 north of Wellington Street,Link,MAC1089ST,MAC1097ST,831 m,389727389376,389409390135,NW
9800XHD35UDV,Lloyd St/Denmark St to Princess Rd/Wilbraham Rd,Link,MAC1406MR,MAC4070MR,1874 m,384439395589,383874394069,SW
9800XHBRGBS8,A555 Airport Link/Woodford Rd to A5102 Woodford Rd/Chester Rd,Link,MAC4047ST,MAC4048ST,746 m,389200383674,389602383116,SE
9800XHALPQD9,A580 East Lancs Rd/Warrington Rd to A580 East Lancs Rd/Chaddock Ln,Normal,MAC4243WG,MAC4097WG,5278 m,366943398323,371488400948,NE
9800XH0DW7B8,Sainsburys Car Park to Wellington Rd,Normal,MAC1126TA,MAC4277TA,207 m,393188399401,393370399289,SE
9800XGYKHI50,Broad St/Frederick Rd to (A6) Broad St/The Cresent/Albion Way/Cross Lane,Link,MAC4352SD,MAC4076SD,427 m,381504399113,381787398791,SE
9800XGXZD8N4,A6010 Wilbraham Rd/Barlow Moor Rd to A56 Chester Rd/Kingsway,Link,MAC4071MR,MAC1043TR,2031 m,381682394008,379735394420,W
9800XGUEOCI0,A56 Manchester Rd/Hollins Brow to A56 Bury New Rd/Valley Park Rd/Stanthorpe Court,Link,MAC4086BU,MAC4089BU,3508 m,380762407753,381012404474,S
9800XGTIQGMT,A6042 Trinty Way/Chapel St to A6 Broad St/The Crescent/Albion Way/Cross Ln,Link,MAC4003SD,MAC4076SD,1287 m,383009398543,381787398791,W
9800XGJPZ57K,A6042 Trinity Way/Blackfriars Rd to A6042 Trinity Way/Chapel St,Link,MAC4004SD,MAC4003SD,470 m,383273398928,383009398543,SW
9800XG7PVHCA,Barton Dock Rd to M60 J10,Normal,MAC4227TR,MAC1051TR,2147 m,377910396217,376432396535,W
9800XFX5OKMO,Trinity St/Thynne St to Trinity St/Moor Ln/Derby St,Link,MAC4334BL,MAC4275BL,424 m,371794408694,371373408668,W
9800XFWE02BV,A627 Clarke Way/Newton St to A57 Mottram Rd Halton St,Link,MAC4028TA,MAC4022TA,1141 m,394602395253,395572395012,E
9800XFV612OB,A664 Manchester Rd/Queensway to A58 Manchester Rd/Edinburgh Way/Roch Valley Way,Link,MAC4247RD,MAC4246RD,1768 m,388380410437,388600411895,N
9800XFUMXK9D,Wilmslow Rd/Platt Ln/Dickenson Rd to Wilmslow rd/Moseley Rd,Link,MAC4068MR,MAC4069MR,1078 m,385339395012,385583394003,S
9800XFU4WURB,Liverpool to Worsely,Normal,MAC1058LP,MAC1053SD,39667 m,336877400101,374101401764,E
9800XFLQSTEE,A56 Bury New Rd/Hilton Ln/Scholes Ln to A665 Bury Old Rd/Scholes Ln/Sheepfoot Ln,Link,MAC4090BU,MAC4207BU,869 m,381779403027,382576403146,E
9800XFLBMQU5,A5014 Chester Rd/Stretford Rd to A5067 Chorlton Rd/Stretford Rd,Link,MAC4232TR,MAC4233MR,1087 m,381944396268,382981396583,E
9800XFHCNXA5,(blank),Link,MAC1101WG,MAC1103WG,1470 m,371987401139,371040402027,NW
9800XF2TZZF1,Oldham Rd north of Shaw Rd to Oldham Rd/Shaw Rd,Link,MAC4339RD,MAC4340OL,3536 m,390797410409,392135407168,SE
9800XEXEGFSS,A5103 Princess rd/Wilbraham Rd to A5103 Nell Ln/Princess Rd,Link,MAC4070MR,MAC4219MR,1763 m,383874394069,383327392456,SW
9800XERTGR4K,A5103 Princess rd/Wilbraham Rd to A5103 Nell Ln/Princess Rd,Link,MAC4070MR,MAC4219MR,1763 m,383874394069,383327392456,SW
9800XEICZQ9T,King St/Twist Ln to Manchester Rd/Chapel St/Warrington Rd,Link,MAC4095WG,MAC4096WG,1459 m,365623399940,366984399612,E
9800XEHJFGOT,A6042 Trinity Way/Gt Ducie St to A56 Bury New Rd/Gt Cheetham St,Link,MAC4005MR,MAC4078SD,1710 m,383788399115,382982400628,NW
9800XEG1ORWJ,A57 Hyde Rd/M67 J2 WB off slip to A662 Manchester Rd/Ashton Rd/Market St,Link,MAC4030TA,MAC4081TA,975 m,393482395401,390431398096,NW
9800XEEZDYBQ,A664 Rochdale Rd/Queens Rd to A665 Miller St/Rochdale Rd/Swan St,Link,MAC4254MR,MAC4255MR,2104 m,385571400588,384448398866,SW
9800XEEOV0NW,A665 Bury Old Rd/Leicester Rd to A576 Middleton Rd/Sheepfoot Ln,Link,MAC4208SD,MAC4268MR,1528 m,383562402142,383758403636,N
9800XEDFY308,(blank),Normal,MAC4279BU,MAC4083BU,1021 m,380936410827,380181410507,W
9800XECNOXDZ,A57 Hyde Rd/Pottery Ln to A57 Hyde Rd/Mount Rd,Link,MAC4037MR,MAC4036MR,1041 m,387062396537,388052396222,E
9800XE5VMGLY,A56 Bury New Rd/Valley Park Rd/Stanhope Court to A56 Bury New Rd/Hilton Ln/Scholes Ln,Link,MAC4089BU,MAC4090BU,1641 m,381012404474,381779403027,SE
9800XE5SXF6C,A635 Ashton Old Rd/Pottery Ln to A635 Mancunian Way/ Fairfield St,Link,MAC4014MR,MAC4012MR,1665 m,387191397513,385530397656,W
9800XE4IS0GQ,A664 Rochdale Rd/Moston Ln/Factory Ln to M60 J20 W/B on slip/Rochdale Rd/Shop access,Normal,MAC4253MR,MAC4252MR,2358 m,385955401926,386339404104,N
9800XDZTZQCW,Altrincham Road/Brownley Road to Sharston Rd S of Leestone Rd,Link,MAC4211MR,MAC4291MR,333 m,383002388682,383005388969,N
9800XDSW3000,A34 M60 Junc 3/Kingsway to A34 Kingsway/Parrs Wood Ln,Link,MAC4104ST,MAC4105MR,1828 m,385040388733,385523390476,N
9800XDPGDQ1J,(blank),Link,MAC1040ST,MAC1037ST,805 m,392182386916,391650387505,NW
9800XDGLFYWR,A575 Manchester Rd/Trinity St/Bradshawgate/Lower Bridge St to A6053 Bolton Rd/Egerton Rd,Link,MAC4203BL,MAC4202BL,2707 m,372004408783,373548406656,SE
9800XDEHHFON,Stockport Rd/Kirkmanshulme Ln to A57 Hyde Rd/Pottery Ln,Link,MAC1076MR,MAC4037MR,965 m,386623395821,387062396537,NE
9800XCVZQLKK,(blank),Link,MAC4078SD,MAC1314,364 m,382982400628,382642400494,W
9800XCRP77LT,A6 London Rd/Commercial St to A6 London Road to Newmoor Ln,Link,MAC1091ST,MAC1037ST,339 m,391840387220,391650387505,NW
9800XCNL098P,Liverpool Rd/Green Ln to Liverpool Rd/Worsley Rd,Link,MAC4348SD,MAC4112SD,301 m,376476398445,376224398280,SW
9800XCGVDHWC,A576 Broughton Rd/E of Ford Ln to A6 Broad St/The Crescent/Albion Way,Link,MAC4077SD,MAC4076SD,1058 m,381251399586,381787398791,SE
9800XCDR9CMO,A6 Broad St/The Crescent/Albion Way/Cross St to Trinity Way/Chapel St,Link,MAC4076SD,MAC4003SD,1289 m,381787398791,383009398543,E
9800XBVPTAT5,A635 Manchester Rd/Moss Way to A635 Ashton Old Rd/Fairfield St,Link,MAC4018TA,MAC4015MR,2928 m,391982398151,389238397359,W
9800XBPGL0EY,A6 Stockport Rd/Plymouth Grove to A6 Stockport Rd/Dickenson Ln,Link,MAC1079MR,MAC1077MR,489 m,386513395923,386820395549,SE
9800XBIZ1D5P,A34 Kingsway adj to Southview Garens to A34 Kingswat S of Stanley Rd Roundabout,Link,MAC4054ST,MAC4043ST,3148 m,385387387277,386840384663,SE
9800XBBQC5CH,A665 Gt Ancoats St/Laystall St to A6042 Trinity Way/Chapel St,Normal,MAC4009MR,MAC4003SD,2648 m,385050398341,383009398543,W
9800XAT4YY3X,Hyde Rd/Devonshire St to Hyde Rd E of Ardwick Green Roundabout,Link,MAC4038MR,MAC4039MR,449 m,385778396921,385351397055,W
9800XAQOVJYJ,A6027 De Havilland Way (east of Reebok Car Park Exit) to A6027 De Havilland Way (west of Parklands R,Link,MAC4301BL,MAC4300BL,0 m,364682409275,364681409274,SW
9800XAQAQTXM,(blank),Link,MAC4035MR,MAC1098ST,4060 m,389469395704,388345392252,SW
9800XAKDJBLZ,Junction Shaftsbury Ave/Thorley Ln to A560 Altrincham Rd/Hall Ln,Link,MAC1011TR,MAC4209MR,3213 m,378983388477,381664389356,E
9800XAGT0EGT,Manchester Road Bury A56 to Manchester Rd/Radcliffe Rd,Normal,MAC1062,MAC4084BU,546 m,380160410183,380308409653,S
9800XA8UZONI,IRR South A - Innner Ring Road Anti-Clockwise,Normal,MAC1049MR,MAC4012MR,2794 m,382950397270,385530397656,E
